 STATE/UT NAME , AC NO. , AC NAME , CANDIDATE NAME , SEX , AGE , CATEGORY , PARTY , SYMBOL , GENERAL , POSTAL , TOTAL , % VOTES POLLED , TOTAL ELECTORS 
Maharashtra,1,Akkalkuwa ,1 ADV. K. C. PADAVI,MALE,61,ST,INC,Hand,82509,261,82770,41.25545786,278888
Maharashtra,1,Akkalkuwa ,2 AAMSHYA FULJI PADAVI,MALE,51,ST,SHS,Bow and Arrow,80532,142,80674,40.21073828,278888
Maharashtra,1,Akkalkuwa ,3 NAGESH DILVARSING PADVI,MALE,44,ST,IND,Gas Stove,21583,81,21664,10.79809398,278888
Maharashtra,1,Akkalkuwa ,4 NOTA,,,,NOTA,NOTA,4856,1,4857,2.420898379,278888
Maharashtra,1,Akkalkuwa ,5 ADV. KAILAS PRATAPSING VASAVE,MALE,28,ST,AAAP,Broom,4034,21,4055,2.021153578,278888
Maharashtra,1,Akkalkuwa ,6 BHARAT JALYA PAWARA,MALE,27,ST,IND,Cot,3782,2,3784,1.886077716,278888
Maharashtra,1,Akkalkuwa ,7 DR.SANJAY RAVLYA VALVI,MALE,27,ST,BTP,Auto- Rickshaw,2808,16,2824,1.407580198,278888
 TURNOUT , TOTAL : ,,,,,,,,200104,524,200628,71.93855598,
Maharashtra,2,Shahada ,1 Rajesh Udesing Padvi,MALE,50,ST,BJP,Lotus,94405,526,94931,45.12079775,320555
Maharashtra,2,Shahada ,2 Adv.Padmakar Vijaysing Valvi,MALE,51,ST,INC,Hand,86510,430,86940,41.32266758,320555
Maharashtra,2,Shahada ,3 Eng.Jelsing Bijala Pawara,MALE,59,ST,IND,Cup & Saucer,20853,160,21013,9.987499584,320555
Maharashtra,2,Shahada ,4 Mali Jaysing Devchand,MALE,66,ST,CPIM,"Hammer, Sickle and Star",4052,8,4060,1.929721996,320555
Maharashtra,2,Shahada ,5 NOTA,,,,NOTA,NOTA,3443,6,3449,1.639313095,320555
 TURNOUT , TOTAL : ,,,,,,,,209263,1130,210393,65.63397857,
Maharashtra,3,Nandurbar ,1 VIJAYKUMAR KRUSHNARAO GAVIT,MALE,64,ST,BJP,Lotus,120825,780,121605,64.51570118,339098
Maharashtra,3,Nandurbar ,2 UDESING KOCHARU PADVI,MALE,71,ST,INC,Hand,50955,254,51209,27.16816366,339098
Maharashtra,3,Nandurbar ,3 DIPA SHAMSHON VALVI,FEMALE,33,ST,VBA,Gas Cylinder,6683,51,6734,3.572622275,339098
Maharashtra,3,Nandurbar ,4 NOTA,,,,NOTA,NOTA,3497,24,3521,1.868013518,339098
Maharashtra,3,Nandurbar ,5 ANANDA SUKALAL KOLI,MALE,52,ST,IND,Cup & Saucer,2040,7,2047,1.086005019,339098
Maharashtra,3,Nandurbar ,6 VIPUL RAMSING VASAVE,MALE,25,ST,BSP,Elephant,1921,4,1925,1.021279756,339098
Maharashtra,3,Nandurbar ,7 Adv.PRAKASH MOHAN GANGURDE,MALE,31,ST,SWP,Bat,1437,11,1448,0.7682145908,339098
 TURNOUT , TOTAL : ,,,,,,,,187358,1131,188489,55.58540599,
Maharashtra,4,Nawapur ,1 Naik Shirishkumar Surupsing,MALE,47,ST,INC,Hand,74395,257,74652,34.29705554,287977
Maharashtra,4,Nawapur ,2 Sharad Krushnarao Gavit,MALE,56,ST,IND,Cup & Saucer,63240,77,63317,29.08946399,287977
Maharashtra,4,Nawapur ,3 Gavit Bharat Manikrao,MALE,48,ST,BJP,Lotus,58342,237,58579,26.9127045,287977
Maharashtra,4,Nawapur ,4 Dr. Ulhas Jayant Vasave,MALE,45,ST,BTP,Auto- Rickshaw,5969,40,6009,2.76068969,287977
Maharashtra,4,Nawapur ,5 Jagan Hurji Gavit,MALE,49,ST,VBA,Gas Cylinder,5458,4,5462,2.509383772,287977
Maharashtra,4,Nawapur ,6 NOTA,,,,NOTA,NOTA,4949,1,4950,2.274157758,287977
Maharashtra,4,Nawapur ,7 Dr. Rakesh Rajya Gavit,MALE,41,ST,IND,Air Conditioner,1286,,1286,0.5908215912,287977
Maharashtra,4,Nawapur ,8 Adv. Prakash Mohan Gangurde,MALE,31,ST,IND,Bat,1141,13,1154,0.5301773843,287977
Maharashtra,4,Nawapur ,9 Arjunsing Diwansing Vasave,MALE,54,ST,IND,Road Roller,1038,1,1039,0.4773434162,287977
Maharashtra,4,Nawapur ,10 Ramu Maharya Valvi,MALE,49,ST,PPID,Black Board,735,3,738,0.3390562475,287977
Maharashtra,4,Nawapur ,11 Dr. Sunil Kuthya Gavit,MALE,41,ST,AAAP,Broom,475,2,477,0.2191461112,287977
 TURNOUT , TOTAL : ,,,,,,,,217028,635,217663,75.58346674,
Maharashtra,5,Sakri ,1 Manjula Tulshiram Gavit,FEMALE,56,ST,IND,Telephone,75738,428,76166,36.60102452,342992
Maharashtra,5,Sakri ,2 Mohan Gokul Suryawanshi,MALE,55,ST,BJP,Lotus,68498,403,68901,33.10988092,342992
Maharashtra,5,Sakri ,3 Dhanaji Sitaram Ahire,MALE,66,ST,INC,Hand,25187,115,25302,12.15869446,342992
Maharashtra,5,Sakri ,4 Yashwant Devman Malache,MALE,49,ST,VBA,Gas Cylinder,14006,26,14032,6.742976867,342992
Maharashtra,5,Sakri ,5 Rajkumar Pandit Sonawane,MALE,50,ST,IND,Whistle,9055,3,9058,4.352756874,342992
Maharashtra,5,Sakri ,6 NOTA,,,,NOTA,NOTA,4140,7,4147,1.992811079,342992
Maharashtra,5,Sakri ,7 Nandu Rajaram Malache,MALE,43,ST,BTP,Auto- Rickshaw,3742,1,3743,1.79867178,342992
Maharashtra,5,Sakri ,8 Hiraman Deva Sabale,MALE,60,ST,IND,Cup & Saucer,2865,7,2872,1.380118982,342992
Maharashtra,5,Sakri ,9 Rangnath Rama Bhavare,MALE,56,ST,BSP,Elephant,2274,2,2276,1.093715461,342992
Maharashtra,5,Sakri ,10 Chaure Sandip Shantaraam,MALE,34,ST,IND,Tractor Chalata Kissan,1598,3,1601,0.7693490567,342992
 TURNOUT , TOTAL : ,,,,,,,,207103,995,208098,60.67138592,
Maharashtra,6,Dhule Rural,1 Kunalbaba Rohidas Patil,MALE,45,GENERAL,INC,Hand,124610,965,125575,51.18261075,372989
Maharashtra,6,Dhule Rural,2 Maisaheb Dnyanjyoti Manohar Patil,FEMALE,49,GENERAL,BJP,Lotus,110555,456,111011,45.24652839,372989
Maharashtra,6,Dhule Rural,3 Rajdip Bhatu Agale,MALE,44,SC,VBA,Gas Cylinder,4199,17,4216,1.718382536,372989
Maharashtra,6,Dhule Rural,4 NOTA,,,,NOTA,NOTA,2239,9,2248,0.9162533065,372989
Maharashtra,6,Dhule Rural,5 Baisane Nandu Sukdeo,MALE,36,SC,BSP,Elephant,1468,3,1471,0.599558992,372989
Maharashtra,6,Dhule Rural,6 Dr. Bhupesh Prakash Patil,MALE,36,GENERAL,IND,Tractor Chalata Kissan,826,,826,0.3366660281,372989
 TURNOUT , TOTAL : ,,,,,,,,243897,1450,245347,65.77861546,
Maharashtra,7,Dhule City,1 Shah Faruk Anwar,MALE,45,GENERAL,AIMIM,Kite,46597,82,46679,28.93171028,322026
Maharashtra,7,Dhule City,2 Rajwardhan Raghujirao Kadambande (Rajubaba),MALE,59,GENERAL,IND,Balloon,42973,399,43372,26.882027,322026
Maharashtra,7,Dhule City,3 Anil Anna Gote,MALE,71,GENERAL,LKSGM,Whistle,42056,376,42432,26.29941367,322026
Maharashtra,7,Dhule City,4 Hilal Lala Mali,MALE,48,GENERAL,SHS,Bow and Arrow,22267,160,22427,13.90028635,322026
Maharashtra,7,Dhule City,5 NOTA,,,,NOTA,NOTA,1366,5,1371,0.8497477408,322026
Maharashtra,7,Dhule City,6 Ravindra Suresh Damodar,MALE,30,SC,BSP,Elephant,1256,8,1264,0.7834289894,322026
Maharashtra,7,Dhule City,7 Mayur Devidas Ahirrao,MALE,32,GENERAL,IND,Winnower,1033,1,1034,0.6408746638,322026
Maharashtra,7,Dhule City,8 Gorakh Babanlal Sharma,MALE,44,GENERAL,IND,Key,897,,897,0.5559618698,322026
Maharashtra,7,Dhule City,9 Mansuri Asif Inayat,MALE,37,GENERAL,SP,Bicycle,798,2,800,0.4958411325,322026
Maharashtra,7,Dhule City,10 Kulkarni Prachi Girish,FEMALE,48,GENERAL,MNS,Railway Engine,694,6,700,0.4338609909,322026
Maharashtra,7,Dhule City,11 Hemlata Sunil Sonawane,FEMALE,40,ST,IND,Walking Stick,366,,366,0.2268473181,322026
 TURNOUT , TOTAL : ,,,,,,,,160303,1039,161342,50.10216566,
Maharashtra,8,Shindkheda,1 Jaykumar Jitendrasinh Rawal,MALE,45,GENERAL,BJP,Lotus,113042,767,113809,56.74334889,327082
Maharashtra,8,Shindkheda,2 Bedse Sandeep Tryambakrao,MALE,49,GENERAL,NCP,Clock,70512,382,70894,35.34661561,327082
Maharashtra,8,Shindkheda,3 Shanabhau Rambhau Sonawane,MALE,48,GENERAL,IND,Whistle,9346,12,9358,4.665749272,327082
Maharashtra,8,Shindkheda,4 Namdeo Rohidas Yelave,MALE,48,ST,VBA,Gas Cylinder,2014,11,2025,1.009632643,327082
Maharashtra,8,Shindkheda,5 NOTA,,,,NOTA,NOTA,1815,1,1816,0.9054285828,327082
Maharashtra,8,Shindkheda,6 Narendra Dharma Patil (Salunkhe),MALE,38,GENERAL,MNS,Railway Engine,1178,7,1185,0.5908220653,327082
Maharashtra,8,Shindkheda,7 Bhausaheb Namdeo Pawar,MALE,34,SC,BSP,Elephant,1000,5,1005,0.5010769415,327082
Maharashtra,8,Shindkheda,8 Salim Kasam Pinjari,MALE,60,GENERAL,IND,Sewing Machine,476,,476,0.2373259942,327082
 TURNOUT , TOTAL : ,,,,,,,,199383,1185,200568,61.32040283,
Maharashtra,9,Shirpur ,1 Kashiram Vechan Pawara,MALE,53,ST,BJP,Lotus,119582,821,120403,56.76923222,320802
Maharashtra,9,Shirpur ,2 Dr. Jitendra Yuvraj Thakur,MALE,44,ST,IND,Whistle,70947,282,71229,33.58401071,320802
Maharashtra,9,Shirpur ,3 Ranjitsingh Bharatsingh Pawara,MALE,57,ST,INC,Hand,7715,39,7754,3.655960621,320802
Maharashtra,9,Shirpur ,4 NOTA,,,,NOTA,NOTA,3822,6,3828,1.804877129,320802
Maharashtra,9,Shirpur ,5 Prof.Motilal Damu Sonawane,MALE,54,ST,VBA,Gas Cylinder,3503,31,3534,1.666258039,320802
Maharashtra,9,Shirpur ,6 Er. Vikas Kalidas Saindane,MALE,30,ST,CPI,Ears of Corn And Sickle,2127,,2127,1.00286668,320802
Maharashtra,9,Shirpur ,7 Kishor Daulat Bhil,MALE,37,ST,MEP,Tractor Chalata Kissan,1853,7,1860,0.8769779152,320802
Maharashtra,9,Shirpur ,8 Sukram Onkar Pawara,MALE,35,ST,BSP,Elephant,1356,1,1357,0.6398166833,320802
 TURNOUT , TOTAL : ,,,,,,,,210905,1187,212092,66.11305416,
Maharashtra,10,Chopda ,1 LATABAI CHANDRAKANT SONAWANE,FEMALE,48,ST,SHS,Bow and Arrow,77424,713,78137,39.18252114,308441
Maharashtra,10,Chopda ,2 JAGDISHCHANDRA RAMESH VALVI,MALE,57,ST,NCP,Clock,57002,606,57608,28.88806427,308441
Maharashtra,10,Chopda ,3 PRABHAKARAPPA GOTU SONAWANE,MALE,66,ST,IND,Bat,31932,527,32459,16.27686568,308441
Maharashtra,10,Chopda ,4 DR. BARELA  CHANDRAKANT JAMSING,MALE,36,ST,IND,Whistle,16984,101,17085,8.567431225,308441
Maharashtra,10,Chopda ,5 ADV. YAKUB  SAHEBU TADAVI,MALE,50,ST,BSP,Elephant,5341,28,5369,2.692334694,308441
Maharashtra,10,Chopda ,6 MADHURI KISHOR PATIL,FEMALE,43,ST,IND,Road Roller,4269,19,4288,2.150257249,308441
Maharashtra,10,Chopda ,7 NOTA,,,,NOTA,NOTA,2166,9,2175,1.090673861,308441
Maharashtra,10,Chopda ,8 ISHWARLAL SURESH KOLI (ALIAS NILESH SURESH KOLI),MALE,28,ST,IND,Pressure Cooker,1527,2,1529,0.7667311878,308441
Maharashtra,10,Chopda ,9 DAGDU FATTU TADAVI,MALE,63,ST,IND,Cup & Saucer,760,8,768,0.3851207012,308441
 TURNOUT , TOTAL : ,,,,,,,,197405,2013,199418,64.65353179,
Maharashtra,11,Raver,1 CHAUDHARI SHIRISH MADHUKARRAO,MALE,60,GENERAL,INC,Hand,76497,1444,77941,38.3198293,293382
Maharashtra,11,Raver,2 HARIBHAU MADHAV JAWALE,MALE,66,GENERAL,BJP,Lotus,61931,401,62332,30.64563708,293382
Maharashtra,11,Raver,3 ANIL CHABILDAS CHAWADARI,MALE,50,GENERAL,IND,Television,44733,108,44841,22.04615627,293382
Maharashtra,11,Raver,4 HAJI SAYAD MUSHTAK SAYAD KAMARUDDIN,MALE,38,GENERAL,VBA,Gas Cylinder,6695,12,6707,3.297508309,293382
Maharashtra,11,Raver,5 VIVEK DEVIDAS THAKARE (BAPU DHOBI),MALE,43,GENERAL,AIMIM,Kite,3543,2,3545,1.742905465,293382
Maharashtra,11,Raver,6 GAYASODDIN SADARODDIN KAZI,MALE,65,GENERAL,IND,Almirah,2693,,2693,1.324018171,293382
Maharashtra,11,Raver,7 NOTA,,,,NOTA,NOTA,1940,6,1946,0.9567543118,293382
Maharashtra,11,Raver,8 D. D. WANI (PHOTOGRAPHER),MALE,54,GENERAL,IND,Camera,1333,,1333,0.6553717871,293382
Maharashtra,11,Raver,9 SANTOSH MADHUKAR DHIVARE,MALE,30,SC,BSP,Elephant,1102,2,1104,0.5427835356,293382
Maharashtra,11,Raver,10 RAJARAM MADHAV SONAR,MALE,74,GENERAL,IND,Ring,493,,493,0.2423843143,293382
Maharashtra,11,Raver,11 SANJAY HAMID TADVI,MALE,40,ST,IND,Helicopter,461,,461,0.2266514582,293382
 TURNOUT , TOTAL : ,,,,,,,,201421,1975,203396,69.3280433,
Maharashtra,12,Bhusawal ,1 Sanjay Waman Sawkare,MALE,50,SC,BJP,Lotus,81043,646,81689,54.2229214,307797
Maharashtra,12,Bhusawal ,2 Dr. Madhu Rajesh Manawatkar,FEMALE,44,SC,IND,Stethoscope,28400,275,28675,19.03367982,307797
Maharashtra,12,Bhusawal ,3 Jagan Deoram Sonawane,MALE,48,SC,NCP,Clock,20190,55,20245,13.43807665,307797
Maharashtra,12,Bhusawal ,4 Sunil Dada Surwade,MALE,37,SC,VBA,Gas Cylinder,6833,35,6868,4.558790341,307797
Maharashtra,12,Bhusawal ,5 NOTA,,,,NOTA,NOTA,3263,14,3277,2.175182869,307797
Maharashtra,12,Bhusawal ,6 Gita Prashant Khachane,FEMALE,27,SC,IND,Helicopter,2153,4,2157,1.431757537,307797
Maharashtra,12,Bhusawal ,7 Nilesh Amrut Suralkar,MALE,32,SC,MNS,Railway Engine,2085,10,2095,1.390603635,307797
Maharashtra,12,Bhusawal ,8 Satish Bhika Ghule,MALE,47,SC,IND,Television,1571,1,1572,1.043450556,307797
Maharashtra,12,Bhusawal ,9 Rakesh Sahebrao Wakade,MALE,34,SC,BSP,Elephant,970,,970,0.6438594395,307797
Maharashtra,12,Bhusawal ,10 Yamuna Dagadu Rote,FEMALE,65,SC,IND,Auto- Rickshaw,916,1,917,0.6086794908,307797
Maharashtra,12,Bhusawal ,11 Kailash Gopal Ghule,MALE,40,SC,IUML,Cup & Saucer,881,1,882,0.5854474491,307797
Maharashtra,12,Bhusawal ,12 Ajay Jivram Ingle,MALE,25,SC,BMUP,Cot,805,1,806,0.5350007301,307797
Maharashtra,12,Bhusawal ,13 Nilesh Raju Devghatole,MALE,30,SC,IND,Football,501,,501,0.3325500816,307797
 TURNOUT , TOTAL : ,,,,,,,,149611,1043,150654,48.94589616,
Maharashtra,13,Jalgaon City,1 Suresh Damu Bhole (Rajumama),MALE,54,GENERAL,BJP,Lotus,112569,741,113310,62.21482811,401328
Maharashtra,13,Jalgaon City,2 Abhishek shantaram patil,MALE,33,GENERAL,NCP,Clock,48211,253,48464,26.61000291,401328
Maharashtra,13,Jalgaon City,3 Shafi A. Nabi Shaikh,MALE,65,GENERAL,VBA,Gas Cylinder,6309,21,6330,3.475596699,401328
Maharashtra,13,Jalgaon City,4 NOTA,,,,NOTA,NOTA,4966,32,4998,2.74423891,401328
Maharashtra,13,Jalgaon City,5 Adv. Jamil Abdul Rauf Deshpande,MALE,51,GENERAL,MNS,Railway Engine,3457,24,3481,1.911303651,401328
Maharashtra,13,Jalgaon City,6 Ashok Shridhar Shimpi,MALE,50,GENERAL,BSP,Elephant,1209,5,1214,0.6665678345,401328
Maharashtra,13,Jalgaon City,7 Shivram Magar Patil,MALE,61,GENERAL,IND,CCTV Camera,1165,4,1169,0.6418598011,401328
Maharashtra,13,Jalgaon City,8 Vandana Prabhakar Patil,FEMALE,53,GENERAL,MAHKRS,DIAMOND,909,,909,0.4991022748,401328
Maharashtra,13,Jalgaon City,9 Lalit (BANTY) Gaurishankar Sharma,MALE,35,GENERAL,IND,Batsman,501,,501,0.2750827719,401328
Maharashtra,13,Jalgaon City,10 ANIL PITAMBAR WAGH (SIR),MALE,49,SC,IND,Laptop,416,4,420,0.2306083118,401328
Maharashtra,13,Jalgaon City,11 Prof. Dr. ASHISH S. JADHAV (HAPPY MIRROR),MALE,36,GENERAL,IND,Almirah,387,3,390,0.2141362895,401328
Maharashtra,13,Jalgaon City,12 Maya Budha Ahire,FEMALE,37,SC,IND,Helicopter,373,1,374,0.205351211,401328
Maharashtra,13,Jalgaon City,13 Gokul Ramesh Chavan,MALE,30,SC,IND,FLUTE,363,1,364,0.1998605369,401328
Maharashtra,13,Jalgaon City,14 Surwade Gaurav Damodar,MALE,35,SC,BMUP,Cot,203,,203,0.111460684,401328
 TURNOUT , TOTAL : ,,,,,,,,181038,1089,182127,45.3810848,
Maharashtra,14,Jalgaon Rural,1 GULABRAO RAGHUNATH PATIL,MALE,53,GENERAL,SHS,Bow and Arrow,105261,534,105795,53.33403911,315672
Maharashtra,14,Jalgaon Rural,2 ATTARADE CHANDRASHEKHAR PRAKASH,MALE,42,GENERAL,IND,Tractor Chalata Kissan,58724,342,59066,29.77672247,315672
Maharashtra,14,Jalgaon Rural,3 PUSHPA DNYANESHWAR MAHAJAN,FEMALE,45,GENERAL,NCP,Clock,17892,70,17962,9.055116125,315672
Maharashtra,14,Jalgaon Rural,4 DESHMUKH JITENDRA BABURAO (RAVI BHAU),MALE,47,GENERAL,IND,Whistle,5822,8,5830,2.939056175,315672
Maharashtra,14,Jalgaon Rural,5 MUKUNDA ANANDA ROTE,MALE,40,GENERAL,MNS,Railway Engine,2631,4,2635,1.328372731,315672
Maharashtra,14,Jalgaon Rural,6 NOTA,,,,NOTA,NOTA,2381,1,2382,1.200828784,315672
Maharashtra,14,Jalgaon Rural,7 PRADIP BHIMRAO MOTIRAYA,MALE,30,SC,IND,Auto- Rickshaw,1362,,1362,0.6866199846,315672
Maharashtra,14,Jalgaon Rural,8 SAMBHAJI KADU KOLI,MALE,35,GENERAL,IND,Cup & Saucer,1129,,1129,0.5691585628,315672
Maharashtra,14,Jalgaon Rural,9 SANJAY PANNALAL BAVISKAR (KOLI),MALE,41,GENERAL,BSP,Elephant,903,2,905,0.4562342776,315672
Maharashtra,14,Jalgaon Rural,10 DILIP RAJARAM PATIL (KADGAONKAR),MALE,62,GENERAL,PWPI,Cart,629,,629,0.3170954261,315672
Maharashtra,14,Jalgaon Rural,11 LAXMAN GANGARAM PATIL (LUCKY TAILOR),MALE,56,GENERAL,IND,Football,357,,357,0.1799730797,315672
Maharashtra,14,Jalgaon Rural,12 SONAWANE ISHWAR UTTAM,MALE,41,ST,IND,Bat,311,,311,0.1567832711,315672
 TURNOUT , TOTAL : ,,,,,,,,197402,961,198363,62.83832586,
Maharashtra,15,Amalner,1 Anil Bhaidas Patil,MALE,51,GENERAL,NCP,Clock,92641,1116,93757,50.70522319,293648
Maharashtra,15,Amalner,2 Shirish Dada Hiralal Chaudhari,MALE,49,GENERAL,BJP,Lotus,84121,1042,85163,46.05745622,293648
Maharashtra,15,Amalner,3 Shravan Dharma Vanjari,MALE,44,GENERAL,VBA,Gas Cylinder,1898,11,1909,1.032416471,293648
Maharashtra,15,Amalner,4 NOTA,,,,NOTA,NOTA,1500,3,1503,0.8128454458,293648
Maharashtra,15,Amalner,5 Anil (Daji) Bhaidas Patil,MALE,38,GENERAL,IND,Carrom Board,1058,3,1061,0.5738050685,293648
